sample_id,station_id,latitude,longitude,level_code,tara_nitrate_level,ebi_nitrate_level,darwin_nitrate_level,nitrate_level,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity_level,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen_level,darwin_alkalinity
TARA_G100002115,TARA_070,-20.3943,-3.2085,SRF,0.297120,,14.491161,0.297120,19.777800,,19.777800,36.547700,,36.547700,215.371100,,232.221660,215.371100,1937.420800
TARA_G100002140,TARA_070,-20.4107,-3.1775,SRF,1.138700,,14.491161,1.138700,19.820700,,19.820700,36.545200,,36.545200,215.639100,,232.221660,215.639100,1937.420800
TARA_G100002475,TARA_067,-32.1745,17.6991,SRF,1.288400,,13.116124,1.288400,12.712000,,12.712000,35.012900,,35.012900,241.765700,,253.205000,241.765700,2012.607800
TARA_G100002541,TARA_067,-32.1280,17.6985,SRF,1.288400,,13.116124,1.288400,12.712000,,12.712000,35.012900,,35.012900,241.765700,,253.205000,241.765700,2012.607800
TARA_G100002564,TARA_066,-34.8823,18.0704,DCM,0.000000,,14.055993,14.055993,14.996100,,14.996100,0.000000,,,239.439400,,242.385470,239.439400,1995.785200
TARA_G100002647,TARA_065,-35.1728,26.2868,SRF,0.000000,,12.802575,12.802575,21.819700,,21.819700,35.613900,,35.613900,206.206200,,228.414050,206.206200,1973.179300
TARA_G100002770,TARA_056,-15.3424,43.2965,SRF,0.000000,,11.478440,11.478440,27.322800,,27.322800,35.168300,,35.168300,192.931500,,202.830060,192.931500,1963.228500
TARA_G100002853,TARA_064,-29.5019,37.9889,SRF,0.000000,,12.021952,12.021952,22.173500,,22.173500,35.501800,,35.501800,209.574500,,223.520480,209.574500,1972.040300
TARA_G100002869,TARA_062,-22.3368,40.3412,SRF,-0.342970,,11.755020,-0.342970,25.083400,,25.083400,35.491500,,35.491500,199.614300,,212.853600,199.614300,1967.207900
TARA_G100002888,TARA_062,-22.3368,40.3412,SRF,-0.342970,,11.755020,-0.342970,25.083400,,25.083400,35.491500,,35.491500,199.614300,,212.853600,199.614300,1967.207900
TARA_G100002916,TARA_072,-8.7726,-17.9150,SRF,0.382530,,13.395498,0.382530,25.027800,,25.027800,36.595500,,36.595500,198.815300,,210.890730,198.815300,1966.382300
TARA_G100003370,TARA_078,-30.1367,-43.2899,SRF,-0.317610,,13.948180,-0.317610,19.845800,,19.845800,36.495300,,36.495300,221.795400,,226.353320,221.795400,1973.025600
TARA_G100003612,TARA_082,-47.2007,-57.9446,DCM,17.587700,,19.227239,17.587700,6.978300,,6.978300,34.218900,,34.218900,306.406600,,308.039520,306.406600,2266.496300
TARA_G100003922,TARA_082,-47.2007,-57.9446,DCM,17.587700,,19.227239,17.587700,6.978300,,6.978300,34.218900,,34.218900,306.406600,,308.039520,306.406600,2266.496300
TARA_G100003952,TARA_082,-47.2129,-58.0594,DCM,17.587700,,15.172064,17.587700,6.978300,,6.978300,34.218900,,34.218900,306.406600,,302.118100,306.406600,2267.047600
TARA_G100004227,TARA_085,-62.1400,-49.3273,SRF,28.785100,,27.616480,28.785100,0.763110,,0.763110,34.518600,,34.518600,345.470800,,365.080000,345.470800,2343.294200
TARA_G100004925,TARA_084,-60.2287,-60.6476,SRF,24.595100,,23.275087,24.595100,1.836100,,1.836100,33.882100,,33.882100,338.392200,,343.637330,338.392200,2321.467000
TARA_G100006210,TARA_138,6.3332,-102.9432,SRF,0.353410,,2.672438,0.353410,26.684900,,26.684900,33.659100,,33.659100,197.046200,,206.380480,197.046200,1926.605700
TARA_G100006218,TARA_138,6.3378,-102.9538,DCM,7.673200,,14.658865,7.673200,21.793000,,21.793000,34.709400,,34.709400,111.125100,,153.758200,111.125100,2088.100300
TARA_G100007181,TARA_137,14.1927,-116.6474,SRF,3.077400,,3.500513,3.077400,26.416000,,26.416000,34.026500,,34.026500,195.536300,,206.626360,195.536300,1923.477200
TARA_G100007205,TARA_137,14.2004,-116.6398,SRF,3.441600,,3.500513,3.441600,26.411000,,26.411000,34.044900,,34.044900,195.129200,,206.626360,195.129200,1923.477200
TARA_G100008777,TARA_109,2.0218,-84.5652,DCM,5.101200,,14.341127,5.101200,25.529100,,25.529100,34.725800,,34.725800,199.104500,,164.501050,199.104500,2111.641000
TARA_G100009450,TARA_100,-12.9910,-95.9893,SRF,4.735200,,5.788915,4.735200,25.252300,,25.252300,36.004400,,36.004400,200.797000,,208.378130,200.797000,2011.562700
TARA_G100009483,TARA_100,-12.9214,-96.0953,DCM,1.185500,,8.249334,1.185500,19.972700,,19.972700,35.636800,,35.636800,224.408400,,223.316390,224.408400,2042.135500
TARA_G100009603,TARA_102,-5.2669,-85.2732,DCM,14.209800,,16.996540,14.209800,21.440500,,21.440500,35.042900,,35.042900,131.412500,,153.945950,131.412500,2138.199000
TARA_G100009641,TARA_102,-5.2514,-85.1696,SRF,10.958600,,6.780498,10.958600,24.711900,,24.711900,34.910000,,34.910000,206.609400,,214.054870,206.609400,2086.256300
TARA_G100009665,TARA_102,-5.2537,-85.2221,SRF,10.958600,,6.780498,10.958600,24.711900,,24.711900,34.910000,,34.910000,206.609400,,214.054870,206.609400,2086.256300
TARA_G100009670,TARA_102,-5.2692,-85.2121,DCM,14.209800,,16.996540,14.209800,21.440500,,21.440500,35.042900,,35.042900,131.412500,,153.945950,131.412500,2138.199000
TARA_G100009842,TARA_111,-16.9601,-100.6335,SRF,2.302100,,8.000546,2.302100,22.769300,,22.769300,36.140600,,36.140600,208.944600,,214.996340,208.944600,2052.246800
TARA_G100009862,TARA_111,-16.9601,-100.6335,SRF,2.302100,,8.000546,2.302100,22.769300,,22.769300,36.140600,,36.140600,208.944600,,214.996340,208.944600,2052.246800
TARA_G100009874,TARA_111,-16.9581,-100.6588,SRF,2.302100,,8.000546,2.302100,22.769300,,22.769300,36.140600,,36.140600,208.944600,,214.996340,208.944600,2052.246800
TARA_G100010205,TARA_122,-8.9948,-139.2172,SRF,5.804600,,5.200557,5.804600,26.562200,,26.562200,35.530900,,35.530900,187.063500,,202.331470,187.063500,1993.485600
TARA_G100010207,TARA_122,-8.9948,-139.2172,SRF,5.804600,,5.200557,5.804600,26.562200,,26.562200,35.530900,,35.530900,187.063500,,202.331470,187.063500,1993.485600
TARA_G100010260,TARA_122,-8.9971,-139.1963,SRF,4.586500,,5.200557,4.586500,26.545200,,26.545200,35.533300,,35.533300,185.445100,,202.331470,185.445100,1993.485600
TARA_G100010266,TARA_122,-8.9971,-139.1963,SRF,4.586500,,5.200557,4.586500,26.545200,,26.545200,35.533300,,35.533300,185.445100,,202.331470,185.445100,1993.485600
TARA_G100010309,TARA_122,-9.0060,-139.2060,SRF,5.804600,,5.169157,5.804600,26.562200,,26.562200,35.530900,,35.530900,187.063500,,202.247210,187.063500,1994.005200
TARA_G100010598,TARA_124,-9.1504,-140.5216,SRF,4.878600,,5.191730,4.878600,26.520300,,26.520300,35.551800,,35.551800,190.695900,,203.858730,190.695900,1990.720500
TARA_G100010668,TARA_125,-8.8920,-142.6358,SRF,6.064300,,5.219904,6.064300,26.857600,,26.857600,35.589300,,35.589300,187.908400,,203.374240,187.908400,1990.160000
TARA_G100016874,TARA_209,64.7127,-53.0106,SRF,2.848800,,11.479458,2.848800,2.386300,,2.386300,32.815500,,32.815500,321.214900,,314.742980,321.214900,2199.857400
TARA_G100016943,TARA_210,61.5214,-55.9973,SRF,9.200400,,12.032360,9.200400,5.081000,,5.081000,34.295100,,34.295100,294.211400,,311.197000,294.211400,2204.988000
TARA_G100017831,TARA_208,69.1163,-51.5714,SRF,1.679100,,0.000000,1.679100,3.211500,,3.211500,33.151300,,33.151300,303.026800,,0.000000,303.026800,0.000000
TARA_G100017968,TARA_188,78.2518,91.8557,SRF,0.000000,,13.791991,13.791991,-1.610800,,-1.610800,33.099700,,33.099700,394.748800,,364.418730,394.748800,2170.399400
TARA_G100017971,TARA_188,78.3389,91.6572,SRF,0.000000,,13.791991,13.791991,-1.610800,,-1.610800,33.099700,,33.099700,394.748800,,364.418730,394.748800,2170.399400
